task,method,method_group,time_step,quality_score,runtime_sec,objective,valid,n_solution_edges,reference_similarity,quality_gap_to_baseline,speedup_vs_full_recompute,reused_solution_rate,changed_edges_ratio,n_changed_edges,n_recomputed_edges,gpu_used,n_queries,n_recomputed_queries,mean_path_risk,n_solution_nodes,coverage_rate,n_repaired_edges,precision_at_k,recall_at_k,roc_auc,average_precision,subgraph_node_precision,subgraph_node_recall,subgraph_edge_precision,subgraph_edge_recall,n_candidate_nodes,n_candidate_edges
MST/MSF,classical_kruskal_full_recompute,classical,0,5255.823388545542,0.1534840600000109,5255.823388545542,True,5000.0,1.0,0.0,1.0,0.0,51016.0,51016,,,,,,,,,,,,,,,,,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,0,5255.823388545542,0.14012280100001817,5255.823388545542,True,5000.0,1.0,0.0,1.0953539245906954,0.0,51016.0,51016,49092.0,,,,,,,,,,,,,,,,,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,0,5255.823388545542,0.3419939720000116,5255.823388545542,True,5000.0,1.0,0.0,0.4487917114515858,,51016.0,51016,,,,,,,,,,,,,,,,,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,0,5255.883666769025,1.3855440939999824,5255.883666769025,True,5000.0,0.9940179461615155,1.1468844941432428e-05,0.11077529806858162,,51016.0,51016,,True,,,,,,,,,,,,,,,,
MST/MSF,classical_kruskal_full_recompute,classical,1,5234.667595494063,0.132220019999977,5234.667595494063,True,5000.0,1.0,0.0,1.0,0.0,1.0354753031769235,50292,,,,,,,,,,,,,,,,,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,1,5234.667595494063,0.16920943499999908,5234.667595494063,True,5000.0,1.0,0.0,0.7813986259098243,0.0,1.0354753031769235,50292,5000.0,,,,,,,,,,,,,,,,,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,1,5443.611133367451,0.39651675100000716,5443.611133367451,True,5000.0,0.7352073572791948,0.039915340193376156,0.33345380659586465,,1.0354753031769235,50292,,,,,,,,,,,,,,,,,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,1,5234.770254885454,0.7479135289999874,5234.770254885454,True,5000.0,0.9908421262193908,1.9611444187886738e-05,0.17678516950584436,,1.0354753031769235,50292,,True,,,,,,,,,,,,,,,,
MST/MSF,classical_kruskal_full_recompute,classical,2,5233.197875506731,0.13749792600000887,5233.197875506731,True,5001.0,1.0,0.0,1.0,0.0,1.0354133644781847,49646,,,,,,,,,,,,,,,,,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,2,5233.197875506731,0.16788762100000554,5233.197875506731,True,5001.0,1.0,0.0,0.8189878752287778,0.0,1.0354133644781847,49646,5001.0,,,,,,,,,,,,,,,,,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,2,5462.321126648235,0.4388600229999895,5462.321126648235,True,5001.0,0.7358556056924679,0.043782646212153345,0.3133070199925961,,1.0354133644781847,49646,,,,,,,,,,,,,,,,,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,2,5233.29558242838,0.7467786300000228,5233.29558242838,True,5001.0,0.990843949044586,1.86705956803305e-05,0.18412139886756626,,1.0354133644781847,49646,,True,,,,,,,,,,,,,,,,
MST/MSF,classical_kruskal_full_recompute,classical,3,5228.393909752226,0.12972609999997076,5228.393909752226,True,5003.0,1.0,0.0,1.0,0.0,1.0354298269706124,49010,,,,,,,,,,,,,,,,,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,3,5228.393909752226,0.17192162599997118,5228.393909752226,True,5003.0,1.0,0.0,0.7545653389759849,0.0,1.0354298269706124,49010,5003.0,,,,,,,,,,,,,,,,,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,3,5469.9293795359135,0.40748891200001935,5469.9293795359135,True,5003.0,0.7489949309561266,0.04619687689046631,0.31835492004740634,,1.0354298269706124,49010,,,,,,,,,,,,,,,,,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,3,5228.463788124363,0.21992885499997783,5228.463788124363,True,5003.0,0.99481658692185,1.336516975259684e-05,0.5898548419214197,,1.0354298269706124,49010,,True,,,,,,,,,,,,,,,,
MST/MSF,classical_kruskal_full_recompute,classical,4,5234.91776867037,0.680128510999964,5234.91776867037,True,5006.0,1.0,0.0,1.0,0.0,1.03544732163893,48344,,,,,,,,,,,,,,,,,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,4,5234.91776867037,0.1619143890000032,5234.91776867037,True,5006.0,1.0,0.0,4.200543973889501,0.0,1.03544732163893,48344,5006.0,,,,,,,,,,,,,,,,,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,4,5462.6799918216675,0.38673770199994806,5462.6799918216675,True,5006.0,0.7430362116991643,0.043508271422026124,1.7586299641405412,,1.03544732163893,48344,,,,,,,,,,,,,,,,,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,4,5235.001381763384,0.20992114599999923,5235.001381763384,True,5006.0,0.9908530522966793,1.5972188429610482e-05,3.2399237711858073,,1.03544732163893,48344,,True,,,,,,,,,,,,,,,,
MST/MSF,classical_kruskal_full_recompute,classical,5,5230.303169632541,0.6645898180000245,5230.303169632541,True,5007.0,1.0,0.0,1.0,0.0,1.035459299928387,47715,,,,,,,,,,,,,,,,,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,5,5230.303169632541,0.16832759800001895,5230.303169632541,True,5007.0,1.0,0.0,3.94819284476423,0.0,1.035459299928387,47715,5007.0,,,,,,,,,,,,,,,,,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,5,5441.631135581721,0.3966402020000146,5441.631135581721,True,5007.0,0.7379382158972579,0.04040453470769401,1.6755483046068034,,1.035459299928387,47715,,,,,,,,,,,,,,,,,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,5,5230.372668372782,0.20217064600001322,5230.372668372782,True,5007.0,0.9920429679729461,1.3287707803388759e-05,3.2872715755183424,,1.035459299928387,47715,,True,,,,,,,,,,,,,,,,
MST/MSF,classical_kruskal_full_recompute,classical,6,5239.08253834771,0.127014029999998,5239.08253834771,True,5008.0,1.0,0.0,1.0,0.0,1.035393566802064,47157,,,,,,,,,,,,,,,,,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,6,5239.08253834771,0.7063278589999982,5239.08253834771,True,5008.0,1.0,0.0,0.17982305013400063,0.0,1.035393566802064,47157,5008.0,,,,,,,,,,,,,,,,,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,6,5504.6947529496665,0.3962630249999961,5504.6947529496665,True,5008.0,0.740702120264164,0.05069823058861834,0.32052960278087833,,1.035393566802064,47157,,,,,,,,,,,,,,,,,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,6,5239.194318972749,0.19948780999999371,5239.194318972749,True,5008.0,0.9912524850894632,2.13359160159069e-05,0.6367007086799038,,1.035393566802064,47157,,True,,,,,,,,,,,,,,,,
MST/MSF,classical_kruskal_full_recompute,classical,7,5254.304872086287,0.12789403400000765,5254.304872086287,True,5013.0,1.0,0.0,1.0,0.0,1.0354072724849508,46613,,,,,,,,,,,,,,,,,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,7,5254.304872086287,0.15595932799999446,5254.304872086287,True,5013.0,1.0,0.0,0.8200473523456846,0.0,1.0354072724849508,46613,5013.0,,,,,,,,,,,,,,,,,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,7,5534.511607581801,0.38545150300001296,5534.511607581801,True,5013.0,0.744865993734772,0.053328983056183936,0.3318031788813737,,1.0354072724849508,46613,,,,,,,,,,,,,,,,,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,7,5254.390815769858,0.1941694279999524,5254.390815769858,True,5013.0,0.993636905945516,1.635681325371568e-05,0.6586723528898638,,1.0354072724849508,46613,,True,,,,,,,,,,,,,,,,
MST/MSF,classical_kruskal_full_recompute,classical,8,5259.431398953544,0.12612726800000473,5259.431398953544,True,5013.0,1.0,0.0,1.0,0.0,1.0354274917335853,46032,,,,,,,,,,,,,,,,,,
